accession_number,report_date,form,ixbrl_link,html_link
000104581017000027,2017-01-29,10K,,
000104581017000075,2017-04-30,10Q,,
000104581017000123,2017-07-30,10Q,,
000104581017000172,2017-10-29,10Q,,
000104581018000010,2018-01-28,10K,,
000104581018000080,2018-04-29,10Q,,
000104581018000114,2018-07-29,10Q,,
000104581018000150,2018-10-28,10Q,,
000104581019000023,2019-01-27,10K,,
000104581019000079,2019-04-28,10Q,,
000104581019000144,2019-07-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581019000144/nvda2020q210q.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000144/nvda2020q210q.htm
000104581019000170,2019-10-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581019000170/nvda2020q310q.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581019000170/nvda2020q310q.htm
000104581020000010,2020-01-26,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000010/nvda-2020x10k.htm
000104581020000065,2020-04-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000065/nvda-20200426.htm
000104581020000147,2020-07-26,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000147/nvda-20200726.htm
000104581020000189,2020-10-25,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581020000189/nvda-20201025.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581020000189/nvda-20201025.htm
000104581021000010,2021-01-31,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000010/nvda-20210131.htm
000104581021000064,2021-05-02,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000064/nvda-20210502.htm
000104581021000131,2021-08-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000131/nvda-20210801.htm
000104581021000163,2021-10-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581021000163/nvda-20211031.htm
000104581022000036,2022-01-30,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000036/nvda-20220130.htm
000104581022000079,2022-05-01,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000079/nvda-20220501.htm
000104581022000147,2022-07-31,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000147/nvda-20220731.htm
000104581022000166,2022-10-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581022000166/nvda-20221030.htm
000104581023000017,2023-01-29,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000017/nvda-20230129.htm
000104581023000093,2023-04-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000093/nvda-20230430.htm
000104581023000175,2023-07-30,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/nvda-20230730.htm
000104581023000227,2023-10-29,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/nvda-20231029.htm
000104581024000029,2024-01-28,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/nvda-20240128.htm
000104581024000124,2024-04-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581024000124/nvda-20240428.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/nvda-20240428.htm
000104581024000264,2024-07-28,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581024000264/nvda-20240728.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000264/nvda-20240728.htm
000104581024000316,2024-10-27,10Q,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581024000316/nvda-20241027.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000316/nvda-20241027.htm
000104581025000023,2025-01-26,10K,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000023/nvda-20250126.htm
