CONDENSED CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME - USD ($) $ in Millions ; 3 Months Ended,2023-04-30,2022-05-01
Statement of Comprehensive Income [Abstract],,
Net income,"$ 2,043","$ 1,618"
Available-for-sale securities:,,
Net change in unrealized gain (loss),17,(22)
Cash flow hedges:,,
Net unrealized loss,(13),(29)
Reclassification adjustments for net realized loss included in net income,(11),(2)
Net change in unrealized loss,(24),(31)
"Other comprehensive loss, net of tax",(7),(53)
Total comprehensive income,"$ 2,036","$ 1,565"
